Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Ship Construction Turnkey,Monaghan,"Rosevale, Bree, Castleblayney",26,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction Turnkey,Monaghan,"Ard na Radhairc, Carrickmacross, Co. Monaghan",41,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Monaghan,"Coill an Ri, Carrickmacross, Co. Monaghan",8,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Monaghan,"The Meadows, Smithborough",5,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Monaghan,"Drummond Radhairc, Carrickmacross",1,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Meath,"Archdeaconary Glebe, Kells",20,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Meath,"Nangle Court, Navan",6,N/A,Q3,2018,,0,,0,,0,,0,,0
Ship Construction,Meath,"Castle Street, Ashbourne",76,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Meath,"Church View, Rathmolyon",9,N/A,Q3,2018,,0,,0,,0,,0,,0
Ship Construction,Meath,"Church Street, Kells, Co. Meath",3,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Meath,"Haggard Street, Trim, Co. Meath",4,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Meath,"Pitcher Lane, Kells, Co. Meath",4,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Meath,"Swan Lane, Balreask",6,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Meath,"Carrick St., Kells",30,N/A,Q1,2019,,0,,0,,0,,0,,0
Ship Construction,Meath,"Lagore, Dunshaughlin",34,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Meath,"Convent Lands, Kildalkey, Athboy, Meath",20,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Monaghan,"McCurtain Street, Clones",1,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Monaghan,"Bree, Castleblayney",8,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction,Monaghan,"Latlorcan, Monaghan Town",43,N/A,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,,0,,0,Q4,2019,,0,,0,,0
Cas Construction,Monaghan,"Liseggerton, Clones",19,Oaklee Housing Trust,,0,,0,,0,,0,Q1,2020,,0
Cas Construction,Monaghan,"Convent Lands, Carrickmacross",7,Respond,,0,,0,,0,,0,,0,Q2,2017
Cas Construction,Monaghan,"Birch Court Apts., 34 Main Street, Ballybay",4,North And East Housing Association Ltd,,0,Q4,2019,,0,,0,,0,,0
Calf Turnkey,Monaghan,"Bree, Castleblayney, Co. Monaghan (Phase 1)",11,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Monaghan,"Bree, Castleblayney, Co. Monaghan (Phase 2)",6,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Monaghan,"Bree, Castleblayney, Co. Monaghan (Phase 3)",8,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Monaghan,"Bree, Castleblayney, Co. Monaghan (Phase 4)",13,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Monaghan,"Kingscourt Road, Carrickmacross, Co Monaghan  (Phase 1)",50,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 2)",4,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 3)",4,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 4)",4,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 5)",14,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Construction,Monaghan,"Post Tender - Liseggerton Road, Clones (Phase 1)",6,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Offaly,"McGregol, Birr (Phase 2)",8,N/A,,0,,0,,0,Q3,2018,,0,,0
Ship Construction Turnkey,Offaly,"Mill Race, Ferbane",5,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Offaly,"Cluain na Spideoga, Cloghan",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Offaly,"Frankford, Kilcormac",12,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Offaly,"McGregol, Birr (Phase 1)",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Offaly,"Cluain na Greine, Cloneygowan",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Monaghan,"Davy's & Adjacent Porperty, Fermanagh St., Clones",3,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"Boyle Sports Site, Fermanagh St., Clones",3,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"82 & 83 Fermanagh St., Clones",3,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"2a & 3 Analore St., Clones",2,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"Abbey Gatehouse, Analore St., Clones",4,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"Lui Na Greine, Scotstown",32,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Monaghan,"Latlorcan, Monaghan",16,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Monaghan,"12 Church St., Ballybay",2,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Monaghan,"3 Apts @ 63 Fermanagh St., Clones",3,N/A,,0,,0,,0,,0,Q1,2020,,0
Cas Construction,Offaly,Mountbolus,4,Mid Offaly Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Offaly,"Killane Court, Edenderry",2,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Cas Construction,Offaly,"Scurragh, Birr (AKA Camcor Green)",6,Cluid Housing Association,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Offaly,"Clonminch, Tullamore",19,Oaklee Housing Trust,,0,,0,Q1,2020,,0,,0,,0
Cas Construction,Offaly,"Presentation Convent, Portarlington",32,Sophia Housing Association Ltd,Q1,2019,,0,,0,,0,,0,,0
Calf Turnkey,Offaly,"3 units, An Corran, Crinkle, Birr, Co. Offaly (Phase 1)",3,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2019,,0
Calf Construction,Offaly,"Kearney�s Field, Tullamore, Co. Offaly (Phase 1)",41,Oaklee Housing,,0,,0,,0,Q2,2019,,0,,0
Calf Construction,Offaly,"Killane Drive, Edenderry, Co Offaly (Phase 1)",25,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Offaly,"Riverside, Portarlington, Co. Offaly (Phase 1)",8,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Offaly,"Riverside, Portarlington, Co. Offaly (Phase 2)",8,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Ship Construction Turnkey,Roscommon,"Monksland, Athlone",10,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Roscommon,"Station Road, Termon, Boyle",10,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction Turnkey,Roscommon,"Lisroyne Court, Strokestown",10,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Roscommon,"Warren Grove, Boyle",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Roscommon,"Monksfield, Monksland, Co. Roscommon",2,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Monaghan,"2 Units @ 13 Church Hill, Clones",2,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Offaly,"Chancery Lane, Tullamore",14,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction,Offaly,"Circular Road, Daingean",7,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Offaly,"Kylebeg, Banagher (Phase 2)",18,N/A,,0,,0,Q2,2020,,0,,0,,0
Ship Construction,Offaly,"Blundell Wood, Edenderry",33,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Offaly,"Church Street, Clara",3,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Offaly,"Beechgrove, Belmont",7,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Offaly,"Raheen ,Clara",38,N/A,Q3,2019,,0,,0,,0,,0,,0
Calf Turnkey,Roscommon,"Castle View Apartments, Block A, Roscommon Town (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Roscommon,"Castle View Apartments, Block B, Roscommon Town (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Roscommon,"Monksland, Athlone, Co. Roscommon (Phase 1)*",35,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Roscommon,"Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,Cluid Housing,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Roscommon,"River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,Respond,,0,,0,,0,,0,,0,Q1,2018
Ship Construction Turnkey,Sligo,"Fairgreen Square, Ballisodare",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Offaly,"Elderberry Drive, Moneygall",4,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Offaly,"Sr. Senan Avenue, Edenderry",4,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Offaly,"Chancery Lane, Tullamore (Phase 2)",20,N/A,Q1,2020,,0,,0,,0,,0,,0
Ship Construction,Roscommon,Cloonfad,3,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Roscommon,"Greenfields, Blackstick Road, Roscommon Town",6,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Roscommon,"River Oaks, Ballaghaderreen",10,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Roscommon,"Silveroe Meadows, Boyle",12,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Roscommon,"Cluain Fraoigh, Cloonbeirne",7,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Roscommon,"Old Tuam Road,  Monksland, Athlone",2,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Roscommon,"Meadowbrook, Ballyclare Td., Ballyleague, Co. Roscommon",18,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Roscommon,"Lisroyne Td., Strokestown",10,N/A,,0,,0,Q2,2020,,0,,0,,0
Public Private Partnership (Bundle 2),Roscommon,"The Walk, Roscommon Town",53,N/A,,0,,0,,0,,0,Q4,2019,,0
Cas Construction,Sligo,"Cuan Iosa, Ballymote",8,Society of Saint Vincent de Paul,,0,,0,,0,,0,Q4,2018,,0
Cas Construction,Sligo,"Killeshin, First Sea Road, Sligo",4,Newgrove Housing Association Ltd,,0,,0,Q4,2019,,0,,0,,0
Ship Construction Turnkey,South Dublin,"Ardsolus, Kingswood, Dublin 24",2,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,South Dublin,"White Pines, Stocking Avenue, Rathfarnham, Dublin 16",26,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,South Dublin,"Shackleton Park / Gandon Park, Adamstown",22,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,South Dublin,"Gandon Park, Adamstown, Lucan",12,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Rapid,South Dublin,"Killininny Road, Firhouse (Old Mill, Old Bawn)",24,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Rapid,South Dublin,"St Cuthbert's, Clondalkin (Phase 1)",63,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Rapid,South Dublin,"St. Aidan's Brookfield, Tallaght",47,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Rapid,South Dublin,"St. Aidan's Brookfield, Tallaght",22,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Rapid,South Dublin,"St. Aidan's Brookfield, Tallaght",21,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Rapid,South Dublin,"Riversdale, Clondalkin, Dublin 22",43,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Rapid,South Dublin,"Riverside Cottages, Templeogue",11,N/A,,0,Q1,2019,,0,,0,,0,,0
Ship Construction,Sligo,"St. Joseph's Terrace, Sligo",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Sligo,Collooney,18,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Sligo,Knappagh Road,28,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction,Sligo,"Caltragh, Culleens",1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Sligo,Fr. Flanagan Terrace,14,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Sligo,"Daghloonagh, Keash - SRD",1,N/A,,0,,0,,0,,0,,0,Q4,2016
Ship Construction,Sligo,Rosses Point,14,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Sligo,Fr. Flanagan Terrace,8,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Sligo,"Connolly Park, Tubbercurry",10,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Sligo,Dromore West,10,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Sligo,House at Ballinode,1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Sligo,"SRD ar Crowagh, Dromore West",1,N/A,,0,,0,Q4,2019,,0,,0,,0
Ship Construction,South Dublin,"Killinarden, Tallaght",17,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,South Dublin,"Letts Field, Neilstown, Clondalkin",37,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,South Dublin,"Owendoher, Ballyboden,  Rathfarnham",40,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,South Dublin,"Dromcarra, Tallaght",14,N/A,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2020
Cas Construction,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community: Dublin Simon,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,South Dublin,"2 properties Tullyhall, Lucan, County Dublin (Phase 1)*",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"6 units Elder Heath, Kiltipper Road, Tallaght, Dublin 24 (Phase 1)*",6,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Ardsolus, Old Naas Road, Dublin 22 (Phase 1)",10,Respond,,0,,0,,0,,0,,0,Q3,2019
Calf Turnkey,South Dublin,"Ballynakelly, Newcastle, Co. Dublin (Phase 1)",6,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"Ballynakelly, Newcastle, Co. Dublin (Phase 2)",4,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2019
Calf Turnkey,South Dublin,"Balrothery, Castletymon Road, Dublin Road (Phase 1)*",13,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,Oaklee Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,South Dublin,"Burgage Gardens, Newcastle, Co. Dublin (Phase 1)*",4,Respond,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,South Dublin,"Burgage, Newcastle, Co. Dublin (Phase 1)",10,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Burgage, Newcastle, Co. Dublin (Phase 2)",26,Respond,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,South Dublin,"Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 1)",42,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,South Dublin,"Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 2)",21,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,South Dublin,"Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 3)",12,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,South Dublin,"Cloverhill Road, Raheen, Clondalkin, Dublin 22 (Phase 4)*",8,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,South Dublin,"Cuil Duin Green, Cuil Duin, Citywest, Dublin 24 (Phase 1)*",24,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,South Dublin,"De Selby Lawns, Tallaght, Dublin 24 (Phase 1)",9,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,Cluid Housing,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,South Dublin,"Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,Cluid Housing,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,South Dublin,"Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 1)*",4,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Dodderbrook, Old Court Rd, Ballycullen, Dublin 24 (Phase 2)*",9,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,South Dublin,"Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,Cluid Housing,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,South Dublin,"Edenbrook, Citywest, Dublin 24 (Phase 1)",17,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,Cluid Housing,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,Cluid Housing,,0,,0,,0,,0,,0,Q2,2018
Calf Construction,South Dublin,"Fernwood Green and Maplewood Heights, Tallaght, Dublin  (Phase 1)",40,Cluid Housing,,0,,0,,0,Q4,2019,,0,,0
Calf Turnkey,South Dublin,"Finnstown, Lucan, Co. Dublin (Phase 1)",32,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,South Dublin,"Finnstown, Lucan, Co. Dublin (Phase 2)*",62,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,South Dublin,"Green Lane, Rathcoole, Co. Dublin (Phase 1)*",12,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,South Dublin,"Green Lane, Rathcoole, Co. Dublin (Phase 2)*",9,Túath Housing Association Ltd,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,South Dublin,"Kingswood, Old Ballymount Road, Tallaght, Dublin 24 (Phase 1)*",24,Respond,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 1)*",13,Cluid Housing,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 2)",12,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 1)",25,Cluid Housing,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 2)",15,Cluid Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,South Dublin,"Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,Cluid Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,South Dublin,"Palmerstown Avenue, Dublin 20 (Phase 1)",7,Respond,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,South Dublin,"Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,South Dublin,"Raheen House, Old Nangor Road, Clondalkin, Dublin 22 (Phase 1)",9,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Rathmill Meadows and Green, Rathcoole, Co. Dublin (Phase 1)*",11,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,Cluid Housing,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"Somerton, Lucan, Co. Dublin (Phase 1)*",32,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,South Dublin,"St. Catherines, Killinarden, Tallaght, Dublin 24 (Phase 1)",2,Sophia Housing Association Ltd,,0,,0,,0,Q2,2019,,0,,0
Calf Turnkey,South Dublin,"St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Station Road, Clondalkin, Co. Dublin (Phase 1)",5,Respond,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,South Dublin,"Stone Masons Court, Fortunestown Lane, Citywest Dublin (Phase 1)*",12,Cluid Housing,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"The Mews, Citywest Village, Citywest, Dublin 24 (Phase 1)*",22,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,South Dublin,"The Rise, Citywest Village, Citywest, Dublin 24 (Phase 1)*",13,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,South Dublin,"The Weir, Whitestown Way, Tallaght, Dublin 24 (Phase 1)",81,Cluid Housing,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin (Phase 1)*",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin (Phase 2)*",2,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,Cluid Housing,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,South Dublin,"Wilkins Court, Limekiln Lane, Dublin 12 (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,South Dublin,"Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Tipperary,"Cloneen Road, Fethard",6,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Tipperary,"Strylea, Fethard",3,N/A,,0,,0,,0,,0,Q4,2018,,0
Ship Construction Turnkey,Tipperary,"Ardan, Borrisokane",9,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Tipperary,"An Grianan, Killenaule, Thurles",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Tipperary,"Ardan, Borrisokane (Phase 2)",4,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Tipperary,"An Grianan, Killenaule, Thurles (Phase 2)",5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Tipperary,"Prior Park, Clonmel",20,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Tipperary,"Ma Charoin, Manna South, Templemore",13,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction Turnkey,Tipperary,"Cloneen Road, Fethard (Phase 2)",5,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Tipperary,"Cloneen Road, Fethard (Phase 3)",6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Tipperary,"Glencree, Newport",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Tipperary,"Cloneen Road, Fethard (Phase 4)",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Tipperary,"An Grianan, Killenaule, Thurles (Phase 3)",5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Tipperary,"Prior Park, Clonmel",21,N/A,,0,,0,,0,Q2,2019,,0,,0
Ship Construction,South Dublin,Fortunestown (MacUilliam),28,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,South Dublin,"Mayfield Estate, Clondalkin",17,N/A,,0,,0,,0,,0,,0,Q2,2018
